wavelength_A	flux_0Myr	flux_10Myr	flux_20Myr	flux_30Myr	flux_40Myr	flux_50Myr	flux_60Myr	flux_70Myr	flux_80Myr	flux_90Myr	flux_100Myr	flux_200Myr	flux_300Myr	flux_400Myr	flux_500Myr	flux_600Myr	flux_700Myr	flux_800Myr	flux_900Myr	flux_1000Myr
7881.0	1.3251632774593275e+41	7.741343975254755e+40	4.3188599747806856e+40	3.2980795152786e+40	2.7842120462186433e+40	2.3507767759975967e+40	1.9710477398037995e+40	1.9710477398037995e+40	1.7237979125122072e+40	1.5333385686677303e+40	1.5333385686677303e+40	1.0536221495328087e+40	8.421918834745506e+39	6.995857674605241e+39	6.19419781612231e+39	5.480777526816206e+39	5.480777526816206e+39	4.8551087792467457e+39	4.3314483451899284e+39	4.3314483451899284e+39
7886.0	1.3238582554087076e+41	7.727233760147352e+40	4.310918594605446e+40	3.292336229107794e+40	2.7794294373384025e+40	2.346508683343993e+40	1.9672174234823387e+40	1.9672174234823387e+40	1.7205544127685099e+40	1.5308999776599202e+40	1.5308999776599202e+40	1.0527278455577829e+40	8.408192866810837e+39	6.979840758609305e+39	6.176370674362322e+39	5.459567215993905e+39	5.459567215993905e+39	4.8340213337241135e+39	4.3164280757601894e+39	4.3164280757601894e+39
7891.0	1.3220711184832457e+41	7.681571855288248e+40	4.2844697517881225e+40	3.2732021239652844e+40	2.7637962696706235e+40	2.3330926129156857e+40	1.955289148083433e+40	1.955289148083433e+40	1.7097582132812223e+40	1.5213170041831805e+40	1.5213170041831805e+40	1.0477555761556968e+40	8.360938600611346e+39	6.936425589810841e+39	6.134863947750595e+39	5.419359457370372e+39	5.419359457370372e+39	4.7971036021547625e+39	4.285587733395322e+39	4.285587733395322e+39
7896.0	1.320696420808884e+41	7.640134498691534e+40	4.2619149820123955e+40	3.256710397389687e+40	2.750510843499145e+40	2.3220960356755613e+40	1.9457457249947973e+40	1.9457457249947973e+40	1.7012025548648177e+40	1.5138825642068185e+40	1.5138825642068185e+40	1.0430602269312176e+40	8.318821019025656e+39	6.899281588806483e+39	6.101479056265902e+39	5.3912287015549197e+39	5.3912287015549197e+39	4.77372081061482e+39	4.264788431088311e+39	4.264788431088311e+39
7901.0	1.3196538981847073e+41	7.625553836424658e+40	4.255589981939891e+40	3.252052427071794e+40	2.7468212612156043e+40	2.319209279820514e+40	1.9432474935812571e+40	1.9432474935812571e+40	1.6990764262599396e+40	1.5125049562764243e+40	1.5125049562764243e+40	1.040881523130805e+40	8.300672728239298e+39	6.883055238016408e+39	6.088226699769357e+39	5.3832870213114247e+39	5.3832870213114247e+39	4.7698816068011734e+39	4.261381815941049e+39	4.261381815941049e+39
7906.0	1.3185788935016166e+41	7.594864966902149e+40	4.239280043649115e+40	3.239877003615882e+40	2.7369285571276586e+40	2.3113768485850994e+40	1.9369590423215764e+40	1.9369590423215764e+40	1.6940438004036317e+40	1.5090376691561615e+40	1.5090376691561615e+40	1.0370987710093866e+40	8.269979831285758e+39	6.857782309042136e+39	6.067722476859177e+39	5.3684963558489267e+39	5.3684963558489267e+39	4.759431506960119e+39	4.2510431993429465e+39	4.2510431993429465e+39
7911.0	1.3172175330449464e+41	7.52804480553719e+40	4.2029221769978967e+40	3.212393891325469e+40	2.714477062412598e+40	2.29301507169793e+40	1.9219580792588724e+40	1.9219580792588724e+40	1.6815539201968103e+40	1.4988925082801715e+40	1.4988925082801715e+40	1.0298776058018891e+40	8.209702905425836e+39	6.808911483190456e+39	6.026323973856822e+39	5.3339375400503535e+39	5.3339375400503535e+39	4.729816976571289e+39	4.221588489730906e+39	4.221588489730906e+39
7916.0	1.3157723886192563e+41	7.488131999552012e+40	4.182905493678381e+40	3.1964405531073588e+40	2.700953386243976e+40	2.2811986830279194e+40	1.911516120046565e+40	1.911516120046565e+40	1.6721613627221523e+40	1.4903647911372473e+40	1.4903647911372473e+40	1.0249061756449407e+40	8.170667114402298e+39	6.77823476163859e+39	6.000837719922185e+39	5.31315382755826e+39	5.31315382755826e+39	4.711633213479303e+39	4.2023600670777806e+39	4.2023600670777806e+39
7921.0	1.3142710847089795e+41	7.491465145551132e+40	4.186968947143046e+40	3.198339695124605e+40	2.7015849614151014e+40	2.280483493433357e+40	1.9095972322549244e+40	1.9095972322549244e+40	1.6693875023208292e+40	1.486721745067119e+40	1.486721745067119e+40	1.0236649807393501e+40	8.166968963433693e+39	6.777565441994727e+39	6.002044316025636e+39	5.3168230100358164e+39	5.3168230100358164e+39	4.7154182202812035e+39	4.2038166968417534e+39	4.2038166968417534e+39
7926.0	1.3128056952250232e+41	7.493443823635711e+40	4.189522100335892e+40	3.198838411283432e+40	2.7008407394093864e+40	2.2785000996292316e+40	1.9067337551439371e+40	1.9067337551439371e+40	1.6657968622369994e+40	1.482229522082783e+40	1.482229522082783e+40	1.0222297914069768e+40	8.162517856452938e+39	6.775880860562342e+39	6.001855922586398e+39	5.320163291757933e+39	5.320163291757933e+39	4.719210857202039e+39	4.204842917216996e+39	4.204842917216996e+39
7931.0	1.311972319991495e+41	7.460125866793599e+40	4.1700190535876033e+40	3.1829370765304854e+40	2.6870681183438755e+40	2.266509559733098e+40	1.8964786419515822e+40	1.8964786419515822e+40	1.656553516360686e+40	1.4736937777393377e+40	1.4736937777393377e+40	1.0182521451176631e+40	8.13188051613947e+39	6.750222132972457e+39	5.978767364044935e+39	5.301108701604023e+39	5.301108701604023e+39	4.702254844963702e+39	4.187104212448641e+39	4.187104212448641e+39
